DAY,CUSTOMER,CUSTOMER_GROUP,CUSTOMER_STORE_ID,SKU,CATEGORY,PLANT,SALES_ORGANIZATION,SALES_REGION,SALES_PERSON,FD_DEAL_ID,SALES_VOLUME,LIST_PRICE,ORDER_SIZE_DISCOUNT,STD_DISCOUNT,CARRYING_COST,DISTRIBUTION_COST,ADVERTISING_COSTS,COGS,NET_REVENUE,POCKET_PRICE,INVOICE
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070219,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2596.20411,50,2518.6,1511.16,25186,-9023.528583,19001.07142,38192.43142
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20070125,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,28,28,50372,4231.248,2248.084436,50,2518.6,1511.16,25186,-4896.203283,23128.39672,39801.15672
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20051029,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant KC,Houston,US,William Brown,24,24,19176,1380.672,979.2161334,50,958.8,575.28,9588,922.4872508,11769.28725,15270.96725
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050518,Customer B-US (0021004616),LARGE,00003,RET-34333,A1B1A2Category,Plant Not Determined,Houston,US,William Brown,23,23,32430,2237.67,1975.313083,50,1621.5,972.9,16215,441.1384823,19869.83848,25108.63848
20050728,Customer B-US (0021004616),LARGE,00003,WAF-34333,B2A3B3Category,Plant NJ,Houston,US,Sharon Collins,30,30,29100,2619,1620.861008,50,1455,873,14550,556.7393318,16891.73933,22179.73933
